deal_website_name,cancellation_year,grid_name,grid
,2018,Max Planck Digital Library,grid.431460.4
,2018,Max Planck Florida Institute for Neuroscience,grid.421185.b
,2018,Max Planck Graduate Center,grid.484448.0
,2018,Max Planck Innovation,grid.474028.d
,2018,"Max Planck Institute Luxemburg for International, European and Regulatory Procedural Law",grid.470201.0
,2018,Max Planck Institute for Astronomy,grid.429508.2
,2018,Max Planck Institute for Astrophysics,grid.452596.9
,2018,Max Planck Institute for Biogeochemistry,grid.419500.9
,2018,Max Planck Institute for Biological Cybernetics,grid.419501.8
,2018,Max Planck Institute for Biology,grid.419580.1
,2018,Max Planck Institute for Biology of Ageing,grid.419502.b
,2018,Max Planck Institute for Biophysical Chemistry,grid.418140.8
,2018,Max Planck Institute for Brain Research,grid.419505.c
,2018,Max Planck Institute for Chemical Ecology,grid.418160.a
,2018,Max Planck Institute for Chemical Energy Conversion,grid.419576.8
,2018,Max Planck Institute for Chemical Physics of Solids,grid.419507.e
,2018,Max Planck Institute for Chemistry,grid.419509.0
,2018,Max Planck Institute for Coal Research,grid.419607.d
,2018,Max Planck Institute for Comparative Public Law and International Law,grid.461768.a
,2018,Max Planck Institute for Comparative and International Private Law,grid.461770.3
,2018,Max Planck Institute for Demographic Research,grid.419511.9
,2018,Max Planck Institute for Developmental Biology,grid.419495.4
,2018,Max Planck Institute for Dynamics and Self Organization,grid.419514.c
,2018,Max Planck Institute for Dynamics of Complex Technical Systems,grid.419517.f
,2018,Max Planck Institute for Empirical Aesthetics,grid.461782.e
,2018,Max Planck Institute for European Legal History,grid.461787.b
,2018,Max Planck Institute for Evolutionary Anthropology,grid.419518.0
,2018,Max Planck Institute for Evolutionary Biology,grid.419520.b
,2018,Max Planck Institute for Extraterrestrial Physics,grid.450265.0
,2018,Max Planck Institute for Foreign and International Criminal Law,grid.461774.7
,2018,Max Planck Institute for Gravitational Physics,grid.450243.4
,2018,Max Planck Institute for Heart and Lung Research,grid.418032.c
,2018,Max Planck Institute for Human Cognitive and Brain Sciences,grid.419524.f
,2018,Max Planck Institute for Human Development,grid.419526.d
,2018,Max Planck Institute for Infection Biology,grid.418159.0
,2018,Max Planck Institute for Informatics,grid.419528.3
,2018,Max Planck Institute for Innovation and Competition,grid.469479.1
,2018,Max Planck Institute for Intelligent Systems,grid.419534.e
,2018,Max Planck Institute for Iron Research,grid.13829.31
,2018,Max Planck Institute for Marine Microbiology,grid.419529.2
,2018,Max Planck Institute for Mathematics,grid.461798.5
,2018,Max Planck Institute for Mathematics in the Sciences,grid.419532.8
,2018,Max Planck Institute for Medical Research,grid.414703.5
