article_pubyear,publisher,institution_name,n_items
2016,Non-Elsevier,Research Center Borstel - Leibniz-Center for Medicine and Biosciences,45
2020,Non-Elsevier,Max Delbrück Center for Molecular Medicine,207
2015,Non-Elsevier,Bernhard Nocht Institute for Tropical Medicine,42
2014,Non-Elsevier,Leibniz Research Centre for Working Environment and Human Factors,39
2016,Non-Elsevier,Ruhr University Bochum,837
2018,Elsevier,Max Planck Institute for Iron Research,64
2018,Non-Elsevier,GSI Helmholtz Centre for Heavy Ion Research,112
2016,Non-Elsevier,Goethe University Frankfurt,960
2019,Non-Elsevier,Technical University of Berlin,711
2019,Non-Elsevier,German Center for Neurodegenerative Diseases,235
2013,Non-Elsevier,University of Potsdam,337
2020,Elsevier,TU Dresden,409
2016,Non-Elsevier,University of Bonn,868
2020,Non-Elsevier,Leibniz Institute of Plant Biochemistry,33
2017,Non-Elsevier,Johannes Gutenberg University of Mainz,766
2020,Elsevier,Helmholtz Centre for Environmental Research,122
2014,Non-Elsevier,University of Hannover,396
2012,Non-Elsevier,University of Stuttgart,501
2020,Non-Elsevier,Humboldt University of Berlin,1373
2019,Non-Elsevier,Freie Universität Berlin,947
2012,Elsevier,TU Dresden,371
2016,Non-Elsevier,University of Duisburg-Essen,765
2015,Elsevier,Hamburg University of Technology,66
2015,Non-Elsevier,Hannover Medical School,813
2017,Non-Elsevier,University of Rostock,363
2016,Non-Elsevier,University of Greifswald,426
2017,Non-Elsevier,University of Hohenheim,266
2019,Elsevier,University of Regensburg,121
2014,Non-Elsevier,German Center for Neurodegenerative Diseases,165
2013,Non-Elsevier,University of Passau,29
2015,Non-Elsevier,University Medical Center Hamburg-Eppendorf,803
2014,Elsevier,Max Planck Institute for Plasma Physics,29
2012,Non-Elsevier,Martin Luther University Halle-Wittenberg,401
2015,Non-Elsevier,Martin Luther University Halle-Wittenberg,408
2016,Elsevier,Helmholtz Centre for Environmental Research,141
2012,Elsevier,University of Duisburg-Essen,154
2020,Non-Elsevier,University of Duisburg-Essen,1040
2020,Elsevier,University of Münster,270
2020,Elsevier,University of Göttingen,216
2019,Non-Elsevier,German Cancer Research Center,711
2016,Elsevier,Fraunhofer Institute for Molecular Biology and Applied Ecology,33
2014,Elsevier,Otto-von-Guericke University Magdeburg,182
2019,Non-Elsevier,RWTH Aachen University,1336
2017,Non-Elsevier,Max Planck Institute for Medical Research,35
2013,Non-Elsevier,Federal Institute For Materials Research and Testing,109
2016,Non-Elsevier,Humboldt University of Berlin,655
2020,Non-Elsevier,University of Freiburg,1350
2013,Elsevier,University of Lübeck,70
2016,Elsevier,University of Göttingen,288
2018,Non-Elsevier,Robert Koch Institute,172
2013,Non-Elsevier,Max Planck Institute for Solid State Research,143
2012,Non-Elsevier,Max Planck Institute for Radio Astronomy,89
2019,Non-Elsevier,Helmholtz-Zentrum Dresden-Rossendorf,245
2020,Non-Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,153
2020,Elsevier,Max Planck Institute for Informatics,8
2015,Non-Elsevier,Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,115
2012,Non-Elsevier,Ruhr University Bochum,687
2013,Elsevier,Technical University of Munich,488
2015,Non-Elsevier,University of Konstanz,338
2015,Elsevier,University of Passau,18
2019,Elsevier,University of Bonn,254
2018,Elsevier,University of Mannheim,48
2018,Non-Elsevier,RWTH Aachen University,1278
2019,Non-Elsevier,Heidelberg University,1352
2019,Non-Elsevier,Helmholtz Zentrum München,342
2019,Non-Elsevier,Hannover Medical School,813
2016,Non-Elsevier,Max Planck Institute for the Physics of Complex Systems,129
2020,Elsevier,Reutlingen University,14
2012,Non-Elsevier,University of Duisburg-Essen,578
2015,Non-Elsevier,University of Potsdam,416
2020,Elsevier,Karlsruhe Institute of Technology,436
2016,Non-Elsevier,University Medical Center Hamburg-Eppendorf,846
2014,Elsevier,Bielefeld University,129
2019,Non-Elsevier,Fraunhofer Institute for Laser Technology,18
2019,Non-Elsevier,University of Kaiserslautern,336
2018,Elsevier,TU Dortmund University,149
2018,Non-Elsevier,University of Stuttgart,652
2019,Non-Elsevier,Max Delbrück Center for Molecular Medicine,165
2016,Non-Elsevier,Max Planck Institute for Polymer Research,148
2018,Elsevier,University of Siegen,50
2014,Non-Elsevier,Hannover Medical School,794
2015,Non-Elsevier,Max Planck Institute of Molecular Cell Biology and Genetics,68
2015,Non-Elsevier,Max Planck Institute for Research on Collective Goods,11
2015,Elsevier,University of Bonn,301
2018,Non-Elsevier,University of Greifswald,442
2012,Non-Elsevier,Max Planck Institute of Biochemistry,56
2018,Non-Elsevier,Bielefeld University,458
2014,Elsevier,University of Ulm,138
2016,Non-Elsevier,University of Lübeck,274
2019,Non-Elsevier,Max Planck Institute of Biochemistry,99
2012,Elsevier,Saarland University,142
2016,Elsevier,Max Planck Institute for Metabolism Research,16
2017,Elsevier,Fraunhofer Institute for Solar Energy Systems,80
2012,Non-Elsevier,University of Paderborn,139
2017,Non-Elsevier,Max Planck Institute of Molecular Physiology,55
2015,Non-Elsevier,University of Regensburg,534
2016,Elsevier,University Medical Center Hamburg-Eppendorf,222
2013,Elsevier,Osnabrück University,44
2014,Non-Elsevier,Max Planck Institute of Biochemistry,76
2018,Non-Elsevier,Max Planck Institute for Dynamics of Complex Technical Systems,45
2012,Non-Elsevier,Charité - University Medicine Berlin,1209
2013,Elsevier,Forschungszentrum Jülich,259
2019,Non-Elsevier,Max Planck Institute for Solid State Research,121
2020,Non-Elsevier,Max Planck Institute for Nuclear Physics,92
2018,Elsevier,University of Bonn,274
2014,Non-Elsevier,Max Planck Society,104
2017,Non-Elsevier,TU Bergakademie Freiberg,173
2014,Non-Elsevier,Leibniz Institute of Ecological Urban and Regional Development,9
2017,Non-Elsevier,University of Regensburg,525
2014,Elsevier,Philipp University of Marburg,184
2016,Elsevier,University of Bonn,287
2013,Non-Elsevier,University of Giessen,536
2014,Elsevier,German Aerospace Center,155
2019,Non-Elsevier,Kiel University,759
2015,Elsevier,Kiel University,202
2019,Non-Elsevier,Helmholtz Centre for Environmental Research,235
2018,Non-Elsevier,Max Planck Institute for Biophysical Chemistry,104
2014,Non-Elsevier,Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures,50
2012,Non-Elsevier,University of Tübingen,923
2017,Non-Elsevier,Robert Koch Institute,178
2020,Non-Elsevier,University of Bayreuth,476
2020,Non-Elsevier,Philipp University of Marburg,695
2016,Non-Elsevier,German Cancer Research Center,528
2018,Elsevier,University of Tübingen,339
2014,Elsevier,University of Hannover,184
2014,Non-Elsevier,University of Passau,28
2020,Non-Elsevier,Saarland University,546
2014,Non-Elsevier,TU Bergakademie Freiberg,125
2020,Non-Elsevier,University of Wuppertal,217
2014,Elsevier,Chemnitz University of Technology,95
2014,Non-Elsevier,Technical University of Berlin,497
2018,Elsevier,Max Planck Society,29
2017,Elsevier,University of Giessen,200
2020,Non-Elsevier,University of Bremen,629
2019,Non-Elsevier,University of Wuppertal,196
2019,Elsevier,RWTH Aachen University,659
2014,Elsevier,Fraunhofer Institute for Ceramic Technologies and Systems,35
2013,Non-Elsevier,University of Würzburg,754
2016,Non-Elsevier,Osnabrück University,171
2016,Non-Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,145
2013,Non-Elsevier,Max Planck Institute for Gravitational Physics,70
2013,Non-Elsevier,University of Duisburg-Essen,637
2017,Elsevier,Fraunhofer Institute for Process Engineering and Packaging,17
2016,Non-Elsevier,University of Konstanz,409
2020,Non-Elsevier,Leuphana University of Lüneburg,144
2020,Elsevier,Freie Universität Berlin,211
2016,Non-Elsevier,University of Freiburg,820
2012,Elsevier,Max Planck Institute for Marine Microbiology,13
2017,Elsevier,Max Planck Institute for Biogeochemistry,11
2015,Non-Elsevier,University of Bayreuth,363
2018,Elsevier,University of Freiburg,305
2015,Non-Elsevier,University of Ulm,614
2014,Non-Elsevier,Hochschule Aalen,16
2017,Elsevier,University of Münster,255
2016,Non-Elsevier,Institute of Plant Genetics and Crop Plant Research,52
2018,Non-Elsevier,University of Lübeck,323
2015,Elsevier,University of Potsdam,120
2016,Non-Elsevier,University of Paderborn,203
2018,Non-Elsevier,Fraunhofer Institute for Solar Energy Systems,54
2018,Non-Elsevier,Charité - University Medicine Berlin,1412
2015,Elsevier,Alfred Wegener Institute for Polar and Marine Research,67
2018,Non-Elsevier,Chemnitz University of Technology,254
2018,Elsevier,University of Greifswald,142
2016,Non-Elsevier,Max Planck Institute of Biophysics,28
2020,Non-Elsevier,Universität Hamburg,779
2012,Elsevier,University of Siegen,42
2016,Elsevier,RWTH Aachen University,571
2012,Non-Elsevier,University of Lübeck,227
2017,Elsevier,University of Hannover,203
2015,Elsevier,Max Planck Institute of Colloids and Interfaces,28
2017,Non-Elsevier,Max Planck Institute for Iron Research,73
2013,Non-Elsevier,Max Planck Institute for Terrestrial Microbiology,53
2015,Non-Elsevier,University of Rostock,371
2017,Non-Elsevier,Paul Ehrlich Institut,41
2016,Elsevier,Max Delbrück Center for Molecular Medicine,57
2020,Non-Elsevier,GEOMAR Helmholtz Centre for Ocean Research Kiel,146
2020,Elsevier,University of Erlangen-Nuremberg,414
2018,Non-Elsevier,University of Giessen,705
2020,Non-Elsevier,Max Planck Institute of Colloids and Interfaces,101
2013,Elsevier,Technische Universität Braunschweig,122
2017,Non-Elsevier,Max Planck Institute for Solid State Research,145
2015,Non-Elsevier,Robert Koch Institute,171
2020,Non-Elsevier,Goethe University Frankfurt,1083
2013,Elsevier,University Medical Center Hamburg-Eppendorf,185
2017,Elsevier,RWTH Aachen University,553
2020,Non-Elsevier,Max Planck Institute of Psychiatry,60
2017,Non-Elsevier,Bremen University of Applied Sciences,12
2017,Elsevier,Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,64
2019,Elsevier,University of Ulm,146
2018,Non-Elsevier,Freie Universität Berlin,938
2013,Non-Elsevier,Kiel University,519
2014,Non-Elsevier,Philipp University of Marburg,590
2018,Non-Elsevier,Max Planck Institute for Chemistry,79
2017,Non-Elsevier,University of Mannheim,201
2015,Non-Elsevier,Max Planck Institute for Plasma Physics,42
2015,Non-Elsevier,Technische Universität Braunschweig,324
2015,Elsevier,German Aerospace Center,144
2019,Non-Elsevier,Offenburg University of Applied Sciences,14
2019,Non-Elsevier,Bundeswehr University Munich,106
2018,Non-Elsevier,University of Erlangen-Nuremberg,1404
2014,Non-Elsevier,TU Dortmund University,285
2019,Non-Elsevier,University of Bremen,577
2019,Elsevier,Max Planck Institute of Colloids and Interfaces,24
2012,Elsevier,Leuphana University of Lüneburg,26
2019,Elsevier,Fraunhofer Institute for Systems and Innovation Research,28
2017,Elsevier,Helmholtz Centre for Infection Research,40
2019,Non-Elsevier,Catholic University of Eichstätt-Ingolstadt,50
2015,Non-Elsevier,University of Kaiserslautern,264
2014,Non-Elsevier,Max Planck Institute for Molecular Biomedicine,25
2019,Non-Elsevier,University of Rostock,383
2017,Non-Elsevier,Helmholtz Centre for Environmental Research,218
2015,Elsevier,Karlsruhe Institute of Technology,471
2015,Elsevier,Chemnitz University of Technology,92
2015,Non-Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,130
2018,Elsevier,University of Göttingen,248
2019,Non-Elsevier,Max Planck Institute for Mathematics,23
2017,Non-Elsevier,Technical University of Berlin,645
2018,Elsevier,German Aerospace Center,182
2012,Non-Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,103
2019,Non-Elsevier,Max Planck Institute for Physics,36
2012,Non-Elsevier,Max Planck Institute for Psycholinguistics,38
2012,Non-Elsevier,Darmstadt University of Applied Sciences,3
2020,Elsevier,Chemnitz University of Technology,87
2012,Elsevier,Helmholtz Centre for Environmental Research,68
2015,Non-Elsevier,Max Planck Institute of Colloids and Interfaces,85
2014,Non-Elsevier,University of Tübingen,1013
2019,Non-Elsevier,University of Greifswald,475
2014,Elsevier,Leuphana University of Lüneburg,46
2013,Elsevier,Johannes Gutenberg University of Mainz,180
2017,Non-Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,122
2018,Non-Elsevier,Max Planck Institute for Chemical Ecology,58
2012,Non-Elsevier,German Sport University Cologne,73
2019,Non-Elsevier,Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures,67
2018,Non-Elsevier,University of Bonn,867
2018,Non-Elsevier,GEOMAR Helmholtz Centre for Ocean Research Kiel,143
2015,Non-Elsevier,Fraunhofer Institute for Industrial Mathematics,16
2012,Non-Elsevier,Heidelberg University of Education,11
2018,Non-Elsevier,Max Planck Institute for Molecular Biomedicine,30
2015,Elsevier,TU Bergakademie Freiberg,167
2014,Non-Elsevier,Clausthal University of Technology,75
2020,Elsevier,University of Potsdam,122
2013,Elsevier,TU Bergakademie Freiberg,102
2020,Non-Elsevier,Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,185
2013,Non-Elsevier,Bernhard Nocht Institute for Tropical Medicine,41
2016,Non-Elsevier,TU Bergakademie Freiberg,179
2015,Non-Elsevier,Max Planck Institute for Meteorology,53
2017,Non-Elsevier,Max Planck Institute for Chemical Physics of Solids,136
2018,Elsevier,Forschungszentrum Jülich,265
2019,Non-Elsevier,Fraunhofer Institute for Material and Beam Technology,40
2012,Elsevier,Freie Universität Berlin,257
2017,Non-Elsevier,German Center for Neurodegenerative Diseases,193
2013,Non-Elsevier,University of Tübingen,1004
2012,Non-Elsevier,University of Konstanz,295
2016,Elsevier,Kiel University,218
2016,Non-Elsevier,Forschungszentrum Jülich,528
2015,Non-Elsevier,Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures,42
2017,Non-Elsevier,University of Kaiserslautern,327
2014,Non-Elsevier,Otto-von-Guericke University Magdeburg,407
2012,Non-Elsevier,Heidelberg University,1103
2013,Non-Elsevier,RWTH Aachen University,955
2017,Non-Elsevier,Max Planck Institute for Evolutionary Biology,46
2012,Non-Elsevier,Max Planck Institute for Metabolism Research,33
2014,Elsevier,Max Planck Institute for Human Cognitive and Brain Sciences,48
2016,Elsevier,University of Augsburg,40
2017,Non-Elsevier,TU Darmstadt,551
2015,Non-Elsevier,University of Augsburg,149
2012,Non-Elsevier,Institute of Plant Genetics and Crop Plant Research,65
2018,Non-Elsevier,TU Bergakademie Freiberg,189
2018,Non-Elsevier,University of Bremen,546
2014,Non-Elsevier,Max Planck Institute of Immunobiology and Epigenetics,26
2016,Non-Elsevier,Max Planck Institute for Chemical Physics of Solids,109
2019,Elsevier,Charité - University Medicine Berlin,334
2016,Non-Elsevier,Mannheim University of Applied Sciences,27
2018,Elsevier,Max Planck Institute for Infection Biology,12
2015,Non-Elsevier,Helmholtz Zentrum München,278
2019,Non-Elsevier,Institute of Plant Genetics and Crop Plant Research,77
2020,Non-Elsevier,Paul Ehrlich Institut,63
2017,Non-Elsevier,Philipp University of Marburg,639
2018,Elsevier,Helmholtz Centre for Environmental Research,123
2020,Elsevier,German Aerospace Center,178
2015,Non-Elsevier,Max Planck Institute for Nuclear Physics,109
2020,Non-Elsevier,University of Hannover,673
2015,Elsevier,Technical University of Berlin,273
2012,Non-Elsevier,Max Planck Institute for Solar System Research,33
2019,Non-Elsevier,University of Siegen,213
2015,Elsevier,Johannes Gutenberg University of Mainz,177
2020,Non-Elsevier,Max Planck Institute for the Study of Societies,12
2013,Non-Elsevier,University of Augsburg,150
2017,Non-Elsevier,Universität Hamburg,706
2020,Elsevier,Technische Universität Braunschweig,170
2019,Elsevier,Saarland University,152
2014,Non-Elsevier,Leipzig University,823
2018,Non-Elsevier,University of Ulm,680
2013,Non-Elsevier,Max Planck Institute for Biophysical Chemistry,97
2013,Non-Elsevier,Charité - University Medicine Berlin,1255
2019,Non-Elsevier,University of Bamberg,109
2012,Elsevier,Max Planck Institute for Evolutionary Biology,4
2020,Non-Elsevier,German Aerospace Center,470
2014,Elsevier,University of Passau,13
2012,Elsevier,German Aerospace Center,100
2019,Elsevier,Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,81
2013,Elsevier,Helmholtz-Zentrum Dresden-Rossendorf,58
2019,Non-Elsevier,University of Göttingen,843
2012,Non-Elsevier,Max Planck Institute of Psychiatry,67
2019,Non-Elsevier,University of Potsdam,596
2018,Elsevier,Goethe University Frankfurt,209
2019,Non-Elsevier,GSI Helmholtz Centre for Heavy Ion Research,137
2016,Elsevier,Max Planck Institute for Solar System Research,10
2013,Elsevier,Charité - University Medicine Berlin,350
2019,Non-Elsevier,Westsächsische Hochschule Zwickau,16
2019,Non-Elsevier,University of Paderborn,201
2014,Non-Elsevier,University of Greifswald,376
2020,Non-Elsevier,University of Göttingen,1027
