article_pubyear,publisher,institution_name,n_items
2019,Non-Elsevier,Johannes Gutenberg University of Mainz,775
2019,Elsevier,Otto-von-Guericke University Magdeburg,196
2018,Non-Elsevier,Max Planck Institute for Medical Research,35
2015,Non-Elsevier,Fraunhofer Institute for Interfacial Engineering and Biotechnology,23
2019,Elsevier,Fraunhofer Institute for Manufacturing Engineering and Automation,43
2015,Non-Elsevier,Bielefeld University,425
2018,Non-Elsevier,Karlsruhe Institute of Technology,1072
2017,Non-Elsevier,University of Ulm,672
2020,Elsevier,University of Tübingen,286
2018,Non-Elsevier,University of Hannover,571
2012,Non-Elsevier,Leipzig University,774
2018,Elsevier,Max Planck Institute for Plasma Physics,22
2012,Non-Elsevier,University of Münster,673
2019,Non-Elsevier,University of Duisburg-Essen,883
2019,Elsevier,University of Erlangen-Nuremberg,390
2016,Elsevier,University of Rostock,128
2017,Elsevier,TU Dortmund University,163
2015,Non-Elsevier,Max Planck Institute for Psycholinguistics,54
2017,Elsevier,Ruhr University Bochum,323
2015,Non-Elsevier,University of Erlangen-Nuremberg,1124
2013,Non-Elsevier,Karlsruhe Institute of Technology,866
2020,Elsevier,Leibniz Institute of Polymer Research,22
2014,Non-Elsevier,Technical University of Munich,1516
2017,Non-Elsevier,Technische Universität Braunschweig,359
2019,Non-Elsevier,University of Konstanz,386
2018,Non-Elsevier,Max Planck Institute for Solid State Research,128
2019,Non-Elsevier,Deutsches Elektronen-Synchrotron DESY,198
2020,Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,33
2016,Non-Elsevier,Max Planck Institute of Biochemistry,86
2020,Non-Elsevier,University of Trier,143
2014,Non-Elsevier,Deutsches Elektronen-Synchrotron DESY,160
2018,Elsevier,University of Hohenheim,146
2013,Non-Elsevier,University of Göttingen,790
2012,Non-Elsevier,Philipp University of Marburg,512
2015,Elsevier,Max Planck Institute for Polymer Research,19
2014,Non-Elsevier,Paul Ehrlich Institut,29
2015,Elsevier,University of Augsburg,53
2019,Elsevier,Max Delbrück Center for Molecular Medicine,38
2019,Non-Elsevier,Max Planck Computing and Data Facility,5
2018,Non-Elsevier,Max Planck Institute for Terrestrial Microbiology,33
2012,Non-Elsevier,Max Planck Institute for Evolutionary Anthropology,95
2015,Non-Elsevier,University of Siegen,145
2017,Non-Elsevier,TU Dortmund University,425
2020,Elsevier,University of Paderborn,78
2020,Elsevier,Universität Hamburg,143
2012,Non-Elsevier,Humboldt University of Berlin,536
2017,Non-Elsevier,Bielefeld University,437
2012,Non-Elsevier,Osnabrück University,145
2020,Non-Elsevier,University of Applied Sciences Würzburg-Schweinfurt,16
2012,Non-Elsevier,Hannover Medical School,758
2012,Non-Elsevier,University of Giessen,540
2012,Non-Elsevier,University of Göttingen,748
2013,Elsevier,University of Ulm,159
2018,Non-Elsevier,University of Bayreuth,357
2020,Elsevier,Leibniz Institute for Analytical Sciences - ISAS,9
2016,Elsevier,Charité - University Medicine Berlin,399
2019,Non-Elsevier,University of Münster,962
2012,Non-Elsevier,Bielefeld University,355
2020,Non-Elsevier,Bielefeld University,576
2018,Non-Elsevier,German Center for Neurodegenerative Diseases,201
2014,Elsevier,University of Lübeck,74
2018,Non-Elsevier,University of Münster,944
2013,Non-Elsevier,Max Planck Institute for Mathematics in the Sciences,47
2020,Elsevier,Goethe University Frankfurt,201
2012,Elsevier,Helmholtz Zentrum München,75
2019,Non-Elsevier,Philipp University of Marburg,612
2018,Non-Elsevier,Max Planck Institute of Molecular Physiology,42
2018,Non-Elsevier,Carl von Ossietzky University of Oldenburg,401
2017,Non-Elsevier,Saarland University,484
2017,Non-Elsevier,University of Greifswald,456
2015,Elsevier,University of Siegen,55
2013,Non-Elsevier,Leipzig University,774
2020,Elsevier,University of Bayreuth,120
2013,Non-Elsevier,Max Planck Institute for the History of Science,10
2019,Non-Elsevier,University of Regensburg,529
2016,Elsevier,Hannover Medical School,255
2014,Non-Elsevier,Humboldt University of Berlin,630
2014,Non-Elsevier,Max Planck Institute for Coal Research,27
2015,Non-Elsevier,Universität Hamburg,632
2020,Non-Elsevier,Kiel University,818
2020,Non-Elsevier,German Institute for International Educational Research,34
2012,Non-Elsevier,Max Planck Institute for Terrestrial Microbiology,51
2015,Non-Elsevier,Freie Universität Berlin,751
2019,Non-Elsevier,Max Planck Institute for Chemical Ecology,58
2015,Elsevier,University of Stuttgart,221
2016,Non-Elsevier,University of Potsdam,433
2013,Non-Elsevier,Max Planck Institute for Comparative Public Law and International Law,4
2020,Elsevier,Kiel University,230
2020,Non-Elsevier,Helmholtz Centre for Environmental Research,300
2013,Non-Elsevier,University of Rostock,344
2013,Non-Elsevier,TU Dortmund University,306
2019,Non-Elsevier,Leuphana University of Lüneburg,140
2016,Non-Elsevier,Hannover Medical School,768
2014,Elsevier,Bonn-Rhein-Sieg University of Applied Sciences,4
2014,Non-Elsevier,Martin Luther University Halle-Wittenberg,435
2019,Elsevier,University of Göttingen,228
2015,Elsevier,Max Planck Institute for Intelligent Systems,23
2016,Elsevier,University of Stuttgart,252
2013,Non-Elsevier,Hochschule Hannover,9
