article_pubyear,publisher,institution_name,n_refs
2015,Non-Elsevier,University of Erlangen-Nuremberg,8770
2015,Non-Elsevier,Carl von Ossietzky University of Oldenburg,1884
2012,Elsevier,University of Ulm,1264
2020,Non-Elsevier,University of Stuttgart,4246
2017,Non-Elsevier,University of Freiburg,7802
2016,Elsevier,Max Planck Institute for Coal Research,142
2020,Non-Elsevier,German Cancer Research Center,7721
2016,Elsevier,University of Duisburg-Essen,1814
2014,Elsevier,University of Tübingen,2684
2016,Non-Elsevier,Max Delbrück Center for Molecular Medicine,1805
2019,Non-Elsevier,Fraunhofer Institute for Algorithms and Scientific Computing,86
2019,Non-Elsevier,University of Duisburg-Essen,5542
2013,Non-Elsevier,Max Delbrück Center for Molecular Medicine,1541
2016,Elsevier,TU Darmstadt,1219
2016,Non-Elsevier,GEOMAR Helmholtz Centre for Ocean Research Kiel,1099
2020,Non-Elsevier,Carl von Ossietzky University of Oldenburg,2932
2020,Elsevier,University of Konstanz,511
2017,Non-Elsevier,Max Planck Institute for Biophysical Chemistry,1118
2014,Non-Elsevier,GEOMAR Helmholtz Centre for Ocean Research Kiel,859
2016,Elsevier,German Center for Neurodegenerative Diseases,697
2016,Elsevier,Kiel University,1617
2013,Non-Elsevier,Helmholtz Zentrum München,2435
2019,Non-Elsevier,Deutsches Elektronen-Synchrotron DESY,1459
2013,Non-Elsevier,Max Planck Institute for Chemical Ecology,611
2012,Non-Elsevier,Hannover Medical School,5989
2018,Non-Elsevier,Leibniz Institute for Solid State and Materials Research,1421
2019,Non-Elsevier,University of Giessen,5014
2018,Non-Elsevier,Forschungszentrum Jülich,5329
2020,Elsevier,RWTH Aachen University,5193
2020,Elsevier,Max Planck Institute of Experimental Medicine,126
2017,Non-Elsevier,Helmholtz Zentrum München,3832
2018,Non-Elsevier,Carl von Ossietzky University of Oldenburg,2570
2019,Non-Elsevier,Max Planck Institute for Evolutionary Anthropology,682
2014,Elsevier,Max Planck Institute of Biochemistry,497
2015,Non-Elsevier,Max Planck Institute for Evolutionary Anthropology,869
2017,Non-Elsevier,Fraunhofer Institute for Molecular Biology and Applied Ecology,604
2013,Non-Elsevier,University of Siegen,885
2016,Non-Elsevier,Max Planck Institute for Plasma Physics,244
2014,Elsevier,Helmholtz Centre for Environmental Research,725
2013,Non-Elsevier,Max Planck Institute for Metabolism Research,248
2016,Elsevier,University of Tübingen,3121
2012,Elsevier,Johannes Gutenberg University of Mainz,1503
2019,Non-Elsevier,University of Ulm,5048
2013,Non-Elsevier,University of Bremen,2048
2020,Non-Elsevier,Leibniz Institute for Solid State and Materials Research,1350
2017,Non-Elsevier,German Sport University Cologne,818
2014,Elsevier,Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences,534
2017,Non-Elsevier,University of Konstanz,2937
2015,Elsevier,University of Kassel,423
2015,Elsevier,University of Bremen,1022
2013,Elsevier,University of Göttingen,1727
2019,Elsevier,University of Erlangen-Nuremberg,3246
2014,Elsevier,Philipp University of Marburg,1637
2016,Non-Elsevier,Philipp University of Marburg,5013
2016,Non-Elsevier,University of Bamberg,296
2016,Non-Elsevier,University of Münster,8249
2020,Elsevier,University of Passau,85
2019,Non-Elsevier,Leipzig University,6568
2019,Elsevier,Charité - University Medicine Berlin,3963
2020,Elsevier,German Cancer Research Center,2251
2014,Elsevier,University of Bonn,2409
2012,Non-Elsevier,Johannes Gutenberg University of Mainz,4991
2015,Non-Elsevier,Max Planck Institute for Marine Microbiology,353
2016,Non-Elsevier,Hochschule Aalen,75
2017,Elsevier,University of Stuttgart,1138
2016,Elsevier,Otto-von-Guericke University Magdeburg,1220
2015,Elsevier,University of Bonn,2289
2015,Elsevier,"University of Veterinary Medicine Hannover, Foundation",455
2019,Elsevier,University of Regensburg,870
2017,Elsevier,TU Darmstadt,1373
2016,Elsevier,University Medical Center Hamburg-Eppendorf,2266
2015,Elsevier,Münster University of Applied Sciences,45
2015,Elsevier,University of Münster,1916
2013,Elsevier,Otto-von-Guericke University Magdeburg,958
2015,Non-Elsevier,Karlsruhe Institute of Technology,7652
2012,Non-Elsevier,Goethe University Frankfurt,6790
2018,Non-Elsevier,Osnabrück University,976
2016,Non-Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,1665
2015,Elsevier,Kiel University,1298
2017,Non-Elsevier,University of Siegen,1058
2014,Non-Elsevier,University of Trier,397
2012,Elsevier,Karlsruhe Institute of Technology,1809
2016,Elsevier,Johannes Gutenberg University of Mainz,1554
2017,Elsevier,Fachhochschule Bielefeld,35
2017,Elsevier,TU Dresden,3229
2020,Non-Elsevier,Johannes Gutenberg University of Mainz,7471
2020,Non-Elsevier,Ruhr University Bochum,8389
2018,Non-Elsevier,University of Paderborn,1079
2016,Non-Elsevier,University of Konstanz,2896
2018,Elsevier,Clausthal University of Technology,235
2019,Elsevier,University of Tübingen,3055
2019,Elsevier,University of Freiburg,2759
2020,Non-Elsevier,University of Hohenheim,2563
2016,Non-Elsevier,Universität Hamburg,4290
2017,Elsevier,Institute of Plant Genetics and Crop Plant Research,103
2015,Non-Elsevier,University of Würzburg,6972
2020,Non-Elsevier,Rhine-Waal University of Applied Sciences,154
2017,Non-Elsevier,University of Duisburg-Essen,6082
2016,Non-Elsevier,German Aerospace Center,1743
2020,Non-Elsevier,GEOMAR Helmholtz Centre for Ocean Research Kiel,1163
2020,Non-Elsevier,University of Giessen,6218
2017,Elsevier,University of Erlangen-Nuremberg,3052
2015,Non-Elsevier,University of Bayreuth,3090
2013,Non-Elsevier,Max Planck Institute for Polymer Research,1963
2020,Non-Elsevier,Helmholtz-Zentrum Geesthacht Centre for Materials and Coastal Research,1529
2019,Non-Elsevier,Max Planck Institute for Biological Cybernetics,363
2017,Non-Elsevier,Leibniz Institute for Solid State and Materials Research,2216
2016,Non-Elsevier,German Cancer Research Center,5152
2020,Non-Elsevier,University of Potsdam,5318
2017,Non-Elsevier,Osnabrück University,1281
2020,Elsevier,Bielefeld University,1003
2017,Non-Elsevier,Max Planck Institute for Solid State Research,1672
2014,Non-Elsevier,University of Potsdam,3522
2020,Non-Elsevier,University of Duisburg-Essen,7936
2015,Non-Elsevier,Max Planck Institute for the Physics of Complex Systems,1292
2016,Elsevier,Max Planck Institute for Evolutionary Anthropology,285
2017,Elsevier,Heidelberg University,2966
2014,Non-Elsevier,RWTH Aachen University,8134
2020,Elsevier,Goethe University Frankfurt,2076
2013,Non-Elsevier,University of Potsdam,2597
2017,Non-Elsevier,Max Planck Institute for Chemical Physics of Solids,1247
2015,Non-Elsevier,Max Planck Institute for Iron Research,599
2018,Non-Elsevier,Max Planck Institute for Evolutionary Anthropology,961
2020,Non-Elsevier,TU Bergakademie Freiberg,1026
2018,Non-Elsevier,Otto-von-Guericke University Magdeburg,2677
2013,Non-Elsevier,Leipzig University,5598
2014,Elsevier,University of Würzburg,1541
2020,Non-Elsevier,University of Regensburg,4595
2014,Elsevier,Leibniz Research Centre for Working Environment and Human Factors,82
2019,Non-Elsevier,Max Planck Institute for Coal Research,1098
2013,Elsevier,Max Planck Institute for Plant Breeding Research,113
2014,Non-Elsevier,Universität Hamburg,4307
2020,Non-Elsevier,Leibniz Center for Tropical Marine Ecology,287
2017,Non-Elsevier,Chemnitz University of Technology,1452
2020,Non-Elsevier,University of Rostock,2964
2017,Non-Elsevier,Universität Hamburg,4734
2014,Non-Elsevier,Osnabrück University,1153
2012,Non-Elsevier,Leibniz Institute for Farm Animal Biology,366
2017,Non-Elsevier,University of Tübingen,8537
2015,Non-Elsevier,Ilmenau University of Technology,752
2019,Elsevier,University of Duisburg-Essen,1979
2018,Non-Elsevier,Max Planck Institute for Solid State Research,1035
2012,Non-Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,1036
2017,Non-Elsevier,Kiel University,5509
2018,Non-Elsevier,Max Planck Institute for Meteorology,601
2020,Non-Elsevier,Clausthal University of Technology,499
2020,Non-Elsevier,Osnabrück University,1467
2018,Non-Elsevier,Federal Institute For Materials Research and Testing,886
2015,Non-Elsevier,University Medical Center Hamburg-Eppendorf,5900
2018,Elsevier,Federal Institute For Materials Research and Testing,446
2020,Elsevier,Hannover Medical School,2399
2020,Elsevier,Humboldt University of Berlin,3161
2018,Elsevier,Helmholtz Zentrum München,1112
2017,Elsevier,Max Planck Institute of Microstructure Physics,50
2017,Non-Elsevier,Max Planck Institute for Chemical Energy Conversion,1238
2019,Non-Elsevier,Forschungszentrum Jülich,5016
2014,Non-Elsevier,Technical University of Munich,12421
2015,Non-Elsevier,German Center for Neurodegenerative Diseases,1717
2013,Non-Elsevier,Helmholtz-Zentrum Dresden-Rossendorf,929
2019,Elsevier,University of Würzburg,1450
2015,Elsevier,Otto-von-Guericke University Magdeburg,1278
2020,Elsevier,Carl von Ossietzky University of Oldenburg,832
2014,Non-Elsevier,Philipp University of Marburg,5030
2014,Elsevier,University of Hannover,773
2018,Elsevier,University of Bremen,1149
2016,Elsevier,Technical University of Berlin,1637
2017,Elsevier,Ruhr University Bochum,2129
2016,Non-Elsevier,Max Planck Institute for Chemical Ecology,647
2018,Non-Elsevier,Helmholtz Zentrum München,3215
2019,Non-Elsevier,University of Regensburg,4439
2015,Elsevier,University of Greifswald,844
2018,Non-Elsevier,Clausthal University of Technology,357
2015,Elsevier,German Institute for International Educational Research,34
2019,Non-Elsevier,Helmholtz Centre for Environmental Research,2041
2020,Non-Elsevier,Humboldt University of Berlin,10494
2015,Elsevier,German Cancer Research Center,1717
2019,Non-Elsevier,Philipp University of Marburg,4397
2019,Elsevier,Karlsruhe Institute of Technology,3385
2018,Non-Elsevier,University of Göttingen,7098
2015,Non-Elsevier,Saarland University,3796
2019,Elsevier,University of Göttingen,1792
2017,Non-Elsevier,TU Darmstadt,3355
2015,Non-Elsevier,Hochschule Aalen,65
2014,Non-Elsevier,Julius Kühn-Institut,389
2016,Elsevier,Carl von Ossietzky University of Oldenburg,748
2017,Elsevier,Pforzheim University of Applied Sciences,15
2012,Non-Elsevier,"University of Veterinary Medicine Hannover, Foundation",1039
2015,Non-Elsevier,University of Greifswald,2760
2016,Elsevier,Max Planck Institute of Molecular Cell Biology and Genetics,237
2018,Elsevier,TU Dresden,3481
2013,Elsevier,University of Bayreuth,738
2017,Elsevier,University of Göttingen,1658
2017,Non-Elsevier,Leibniz Research Centre for Working Environment and Human Factors,447
2018,Non-Elsevier,University of Ulm,4859
2018,Non-Elsevier,Hamburg University of Technology,725
2018,Non-Elsevier,German Aerospace Center,1983
2012,Elsevier,German Sport University Cologne,197
2016,Elsevier,University of Paderborn,328
2014,Non-Elsevier,Max Planck Institute for Informatics,208
2019,Non-Elsevier,Fraunhofer Institute for Digital Medicine,73
2012,Elsevier,Charité - University Medicine Berlin,3126
2012,Non-Elsevier,University of Münster,7441
2019,Non-Elsevier,Max Planck Institute for Physics,424
2017,Non-Elsevier,Max Planck Institute for Polymer Research,1904
2012,Elsevier,University of Mannheim,279
2014,Elsevier,University of Stuttgart,844
2020,Elsevier,Clausthal University of Technology,328
2018,Non-Elsevier,University of Würzburg,5505
2016,Non-Elsevier,University of Stuttgart,4287
2017,Elsevier,RWTH Aachen University,3923
2018,Non-Elsevier,Max Planck Institute of Colloids and Interfaces,905
2012,Non-Elsevier,University of Konstanz,2357
2016,Non-Elsevier,Bielefeld University,2509
2016,Elsevier,Max Planck Institute of Molecular Physiology,156
2017,Elsevier,University of Wuppertal,380
2020,Non-Elsevier,Karlsruhe Institute of Technology,10175
2020,Elsevier,Helmholtz Centre Potsdam - GFZ German Research Centre for Geosciences,610
2014,Elsevier,University of Regensburg,1107
2017,Elsevier,Helmholtz Zentrum München,1304
2017,Elsevier,University of Ulm,1428
2019,Non-Elsevier,Goethe University Frankfurt,7416
2015,Non-Elsevier,University of Bremen,2679
2015,Elsevier,Heidelberg University,2551
2013,Non-Elsevier,TU Dresden,7842
2020,Non-Elsevier,Helmholtz-Zentrum Berlin für Materialien und Energie,1358
2012,Non-Elsevier,University of Tübingen,7480
2018,Elsevier,University of Wuppertal,339
2012,Non-Elsevier,GSI Helmholtz Centre for Heavy Ion Research,925
2020,Non-Elsevier,Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures,561
2012,Elsevier,University of Göttingen,1926
2014,Non-Elsevier,Max Planck Institute for Astronomy,681
2012,Non-Elsevier,University of Göttingen,6816
2013,Non-Elsevier,Freie Universität Berlin,5487
2019,Elsevier,RWTH Aachen University,4153
2019,Non-Elsevier,University of Konstanz,2684
2015,Non-Elsevier,University of Siegen,946
2017,Elsevier,Chemnitz University of Technology,463
2017,Non-Elsevier,Robert Koch Institute,1337
2013,Non-Elsevier,Bernhard Nocht Institute for Tropical Medicine,287
2014,Elsevier,Heidelberg University,2643
2012,Elsevier,Humboldt University of Berlin,1147
2015,Non-Elsevier,Fraunhofer Institute for Material and Beam Technology,133
2017,Elsevier,Max Planck Society,198
2020,Non-Elsevier,Hochschule Bremerhaven,59
2013,Elsevier,Helmholtz Centre for Infection Research,252
2013,Elsevier,Technische Universität Braunschweig,635
2017,Non-Elsevier,Max Planck Institute of Experimental Medicine,441
2013,Elsevier,University of Ulm,1202
2018,Non-Elsevier,University of Duisburg-Essen,5135
2019,Elsevier,University of Mannheim,244
2020,Elsevier,Bonn-Rhein-Sieg University of Applied Sciences,68
2018,Non-Elsevier,Paul Ehrlich Institut,447
2019,Non-Elsevier,German Center for Neurodegenerative Diseases,2129
2012,Non-Elsevier,Leibniz Institute DSMZ – German Collection of Microorganisms and Cell Cultures,170
2017,Non-Elsevier,University of Göttingen,7476
2018,Non-Elsevier,Saarland University,3494
2013,Non-Elsevier,GSI Helmholtz Centre for Heavy Ion Research,1221
2013,Non-Elsevier,Helmholtz Centre for Infection Research,969
2018,Non-Elsevier,Helmut Schmidt University,235
2017,Elsevier,University of Hagen,50
2019,Non-Elsevier,University of Bremen,3156
2017,Non-Elsevier,Max Planck Institute of Quantum Optics,721
2019,Non-Elsevier,Fraunhofer Institute for Material and Beam Technology,228
2019,Non-Elsevier,Max Planck Institute for the Structure and Dynamics of Matter,329
2015,Elsevier,University of Lübeck,816
2018,Elsevier,Technical University of Munich,5521
2018,Non-Elsevier,Hannover Medical School,5289
2013,Non-Elsevier,Technical University of Munich,11247
2013,Non-Elsevier,University of Bonn,7310
2013,Elsevier,Bielefeld University,831
2019,Non-Elsevier,Charité - University Medicine Berlin,12283
2012,Elsevier,Max Planck Institute of Immunobiology and Epigenetics,141
2018,Non-Elsevier,Johannes Gutenberg University of Mainz,6263
2019,Elsevier,Humboldt University of Berlin,2459
2020,Non-Elsevier,Hochschule Hannover,60
2019,Elsevier,Helmholtz Centre for Environmental Research,1116
2017,Elsevier,Leipzig University,2206
2020,Non-Elsevier,Otto-von-Guericke University Magdeburg,3861
2018,Non-Elsevier,Max Planck Institute for Chemical Physics of Solids,962
2017,Non-Elsevier,Otto-von-Guericke University Magdeburg,2861
2015,Non-Elsevier,Max Planck Institute for Chemical Energy Conversion,473
2014,Non-Elsevier,TU Darmstadt,3044
2014,Non-Elsevier,"University of Veterinary Medicine Hannover, Foundation",1033
2020,Non-Elsevier,Leibniz Research Centre for Working Environment and Human Factors,299
2013,Elsevier,Johannes Gutenberg University of Mainz,1377
2020,Elsevier,German Aerospace Center,1309
2013,Elsevier,TU Dortmund University,670
2018,Non-Elsevier,Max Planck Institute for Astronomy,597
2014,Elsevier,Ruhr University Bochum,1981
2012,Non-Elsevier,Alfred Wegener Institute for Polar and Marine Research,1137
2016,Non-Elsevier,University of Augsburg,1137
2014,Non-Elsevier,University of Hannover,2244
2016,Elsevier,Bielefeld University,592
2013,Non-Elsevier,Fraunhofer Institute for Applied Polymer Research,116
2018,Non-Elsevier,Max Planck Institute for Biophysical Chemistry,939
2017,Elsevier,University of Greifswald,1036
2012,Elsevier,Deutsches Elektronen-Synchrotron DESY,343
2012,Non-Elsevier,University of Trier,464
2016,Elsevier,Max Planck Institute for Metabolism Research,120
2015,Non-Elsevier,Bielefeld University,2768
2018,Non-Elsevier,Max Planck Institute for the Physics of Complex Systems,1233
2013,Non-Elsevier,Leibniz Institute of Polymer Research,609
2017,Non-Elsevier,University of Kaiserslautern,1810
2015,Elsevier,University of Tübingen,2831
2013,Elsevier,Chemnitz University of Technology,325
2016,Non-Elsevier,University of Siegen,978
2015,Elsevier,Ilmenau University of Technology,181
2016,Non-Elsevier,University of Tübingen,9783
2012,Non-Elsevier,University of Giessen,3696
2017,Elsevier,Max Planck Institute for Plant Breeding Research,119
2012,Elsevier,GSI Helmholtz Centre for Heavy Ion Research,208
2015,Non-Elsevier,TU Darmstadt,3179
